Approach,Model,Corruption Type,Date,Fscore
Salt&Pepper,ResNet50,contrast_3,2024-04-12 02:41:58.421547,0.4835428936840574
Salt&Pepper,ResNet50,defocus_blur_3,2024-04-12 02:42:00.766501,0.9464119762559332
Salt&Pepper,ResNet50,elastic_3,2024-04-12 02:42:03.110166,0.8600480945107718
Salt&Pepper,ResNet50,fog_3,2024-04-12 02:42:05.437561,0.6654922625841271
Salt&Pepper,ResNet50,frost_3,2024-04-12 02:42:07.769569,0.8184364712172231
Salt&Pepper,ResNet50,frosted_glass_blur_3,2024-04-12 02:42:10.110049,0.9113711091678922
Salt&Pepper,ResNet50,gaussian_blur_3,2024-04-12 02:42:12.457330,0.924057768866564
Salt&Pepper,ResNet50,gaussian_noise_3,2024-04-12 02:42:14.819692,0.9545746355809296
Salt&Pepper,ResNet50,impulse_noise_3,2024-04-12 02:42:17.161109,0.9454636101809862
Salt&Pepper,ResNet50,jpeg_compression_3,2024-04-12 02:42:19.490884,0.95852993549098
Salt&Pepper,ResNet50,motion_blur_3,2024-04-12 02:42:21.816311,0.840097138832306
Salt&Pepper,ResNet50,pixelate_3,2024-04-12 02:42:24.157771,0.9629251115737588
Salt&Pepper,ResNet50,saturate_3,2024-04-12 02:42:26.487707,0.9471683190927858
Salt&Pepper,ResNet50,shot_noise_3,2024-04-12 02:42:28.821048,0.957333675474242
Salt&Pepper,ResNet50,snow_3,2024-04-12 02:42:31.180728,0.8676788189096494
Salt&Pepper,ResNet50,spatter_3,2024-04-12 02:42:33.529527,0.862185480810167
Salt&Pepper,ResNet50,speckle_noise_3,2024-04-12 02:42:35.856479,0.9605478692048384
Salt&Pepper,ResNet50,zoom_blur_3,2024-04-12 02:42:38.184723,0.8915617037144967
Salt&Pepper,ResNet50,brightness_3,2024-04-12 02:50:31.608056,0.872149179962493
Salt&Pepper,ResNet50,contrast_3,2024-04-12 02:50:33.954357,0.4642650756678209
Salt&Pepper,ResNet50,defocus_blur_3,2024-04-12 02:50:36.308326,0.9207616756316976
